site_slug,date,day_active,slot_count
cannock,Friday 9 October 2026,False,0
cannock,Saturday 10 October 2026,False,0
cannock,Sunday 11 October 2026,False,0
cardiff-bay,Monday 21 September 2026,False,0
cardiff-bay,Tuesday 22 September 2026,False,0
cardiff-bay,Wednesday 23 September 2026,True,0
cardiff-bay,Thursday 24 September 2026,True,0
cardiff-bay,Friday 25 September 2026,True,0
cardiff-bay,Saturday 26 September 2026,True,0
cardiff-bay,Sunday 27 September 2026,True,0
cardiff-bay,Monday 28 September 2026,True,0
cardiff-bay,Tuesday 29 September 2026,True,0
cardiff-bay,Wednesday 30 September 2026,True,1
cardiff-bay,Thursday 1 October 2026,True,9
cardiff-bay,Friday 2 October 2026,True,7
cardiff-bay,Saturday 3 October 2026,True,0
cardiff-bay,Sunday 4 October 2026,True,0
cardiff-bay,Monday 5 October 2026,True,0
cardiff-bay,Tuesday 6 October 2026,True,7
cardiff-bay,Wednesday 7 October 2026,False,0
cardiff-bay,Thursday 8 October 2026,False,0
cardiff-bay,Friday 9 October 2026,False,0
cardiff-bay,Saturday 10 October 2026,False,0
cardiff-bay,Sunday 11 October 2026,False,0
chelmsford,Monday 21 September 2026,False,0
chelmsford,Tuesday 22 September 2026,False,0
chelmsford,Wednesday 23 September 2026,True,0
chelmsford,Thursday 24 September 2026,True,0
chelmsford,Friday 25 September 2026,True,0
chelmsford,Saturday 26 September 2026,True,0
chelmsford,Sunday 27 September 2026,True,0
chelmsford,Monday 28 September 2026,True,0
chelmsford,Tuesday 29 September 2026,True,0
chelmsford,Wednesday 30 September 2026,True,0
chelmsford,Thursday 1 October 2026,True,0
chelmsford,Friday 2 October 2026,True,4
chelmsford,Saturday 3 October 2026,True,0
chelmsford,Sunday 4 October 2026,True,0
chelmsford,Monday 5 October 2026,True,4
chelmsford,Tuesday 6 October 2026,True,0
chelmsford,Wednesday 7 October 2026,False,0
chelmsford,Thursday 8 October 2026,False,0
chelmsford,Friday 9 October 2026,False,0
chelmsford,Saturday 10 October 2026,False,0
chelmsford,Sunday 11 October 2026,False,0
cheltenham,Monday 21 September 2026,False,0
cheltenham,Tuesday 22 September 2026,False,0
cheltenham,Wednesday 23 September 2026,True,0
cheltenham,Thursday 24 September 2026,True,5
cheltenham,Friday 25 September 2026,True,4
cheltenham,Saturday 26 September 2026,True,0
cheltenham,Sunday 27 September 2026,True,0
cheltenham,Monday 28 September 2026,True,6
cheltenham,Tuesday 29 September 2026,True,3
cheltenham,Wednesday 30 September 2026,True,0
cheltenham,Thursday 1 October 2026,True,12
cheltenham,Friday 2 October 2026,True,7
cheltenham,Saturday 3 October 2026,True,0
cheltenham,Sunday 4 October 2026,True,0
cheltenham,Monday 5 October 2026,True,7
cheltenham,Tuesday 6 October 2026,True,7
cheltenham,Wednesday 7 October 2026,False,0
cheltenham,Thursday 8 October 2026,False,0
cheltenham,Friday 9 October 2026,False,0
cheltenham,Saturday 10 October 2026,False,0
cheltenham,Sunday 11 October 2026,False,0
chester,Monday 21 September 2026,False,0
chester,Tuesday 22 September 2026,False,0
chester,Wednesday 23 September 2026,True,0
chester,Thursday 24 September 2026,True,0
chester,Friday 25 September 2026,True,0
chester,Saturday 26 September 2026,True,0
chester,Sunday 27 September 2026,True,0
chester,Monday 28 September 2026,True,0
chester,Tuesday 29 September 2026,True,0
chester,Wednesday 30 September 2026,True,0
chester,Thursday 1 October 2026,True,0
chester,Friday 2 October 2026,True,0
chester,Saturday 3 October 2026,True,0
chester,Sunday 4 October 2026,True,0
chester,Monday 5 October 2026,True,0
